job_titles,company_names,company_locations,work_methods,post_dates,work_times
"Competitive Intelligence Analyst, Falcon for IT (Remote)",CrowdStrike,"CrowdStrike · New Brunswick, Canada · Reposted 1 day ago · 68 applicants",Remote,Reposted 1 day ago,Full-time
Analyst - Advanced data analytics,BBA Consultants,"BBA Consultants · Mont-St-Hilaire, QC · Reposted 1 week ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 1 week ago,Hybrid
"Competitive Intelligence Analyst, Falcon for IT (Remote)",CrowdStrike,"CrowdStrike · Calgary, AB · Reposted 14 hours ago · 43 applicants",Remote,Reposted 14 hours ago,Full-time
Forecasting Analyst- EN,TD,"TD · Toronto, ON · 2 days ago · 73 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",2 days ago,Hybrid
"Senior Data Analyst, Digital Marketing (Life Sciences)",Klick,"Klick · Toronto, ON · Reposted 1 week ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 1 week ago,Hybrid
Data Analyst,Nanometrics Inc,"Nanometrics Inc · Ottawa, ON · 3 days ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",3 days ago,On-site
"Analyste fonctionnel, Spécialisé en données",Intelli5,"Intelli5 · Montreal, QC · 1 week ago · 21 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 week ago,Hybrid
Quantitative Analyst,Affirm,"Affirm · Regina, SK · Reposted 1 day ago · 15 applicants",Remote,Reposted 1 day ago,Full-time
Information Analyst,Financial Services Regulatory Authority of Ontario (FSRA),"Financial Services Regulatory Authority of Ontario (FSRA) · Toronto, ON · 1 week ago · 31 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 week ago,Hybrid
"2024 Corporate Real Estate, Summer Data and Business Intelligence Student Analyst (4 Months)",RBC,"RBC · Toronto, ON · Reposted 1 day ago · 91 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 1 day ago,Full-time
Lead Data Analyst,GEOTAB,"GEOTAB · Oakville, ON · Reposted 3 days ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 3 days ago,Hybrid
"Analyst, Data Governance",CIBC,"CIBC · Toronto, ON · 1 week ago · Over 100 applicants","Full-time
Matches your job preferences, job type is Full-time.",1 week ago,Full-time
Senior Marketing Data Analyst,Tripadvisor,"Tripadvisor · Ottawa, ON · 1 week ago · 68 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 week ago,Hybrid
Senior Data Analyst,Wunderman Thompson NA,"Wunderman Thompson NA · Toronto, ON · Reposted 2 days ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 2 days ago,On-site
"Data Analyst (Bangkok Based, relocation provided)",Agoda,"Agoda · Vancouver, BC · Reposted 3 days ago · Over 100 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 3 days ago,Full-time
Analyste de données / Data Analyst,Genetec,"Genetec · Montreal, QC · 2 days ago · 81 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",2 days ago,Hybrid
Partner Insights Analyst,Flipp,Flipp · Canada · 4 days ago · Over 100 applicants,Remote,4 days ago,Full-time
