job_titles,company_names,company_locations,work_methods,post_dates,work_times
Business Data Analyst,Robertson & Company Ltd.,"Robertson & Company Ltd. · Toronto, ON · 1 week ago · 266 applicants",CA$65/hr - CA$75/hr,1 week ago,Hybrid
"Annual Giving, Digital Engagement and Data Analyst - (991021.2)",University of Victoria,"University of Victoria · Victoria, BC · 2 weeks ago · 90 applicants","CA$67,040/yr - CA$87,175/yr",2 weeks ago,Hybrid
Sr. Intelligence Analyst - eCrime (Remote),CrowdStrike,"CrowdStrike · Calgary, AB · Reposted 1 week ago · 56 applicants",Remote,Reposted 1 week ago,Full-time
Quantitative Analyst,Affirm,"Affirm · Saskatoon, SK · 1 week ago · 20 applicants",Remote,1 week ago,Full-time
Quantitative Analyst,Affirm,"Affirm · Regina, SK · 1 week ago · 24 applicants",Remote,1 week ago,Full-time
"Competitive Intelligence Analyst, Falcon for IT (Remote)",CrowdStrike,"CrowdStrike · Toronto, ON · Reposted 1 week ago · 70 applicants",Remote,Reposted 1 week ago,Full-time
Quantitative Analyst,Affirm,"Affirm · Calgary, AB · 1 week ago · 30 applicants",Remote,1 week ago,Full-time
Quantitative Analyst,Affirm,"Affirm · Winnipeg, MB · 1 week ago · 26 applicants",Remote,1 week ago,Full-time
Analyste BI Senior,CGI,"CGI · Quebec, Canada · 4 days ago · 34 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",4 days ago,Hybrid
Online Data Analyst,TELUS International AI Data Solutions,"TELUS International AI Data Solutions · Hamilton, ON · 1 week ago · 118 applicants",Remote,1 week ago,Hybrid
Sr. Digital Data Analyst,Trojan Technologies,"Trojan Technologies · Halifax, NS · Reposted 2 days ago · 23 applicants",Remote,Reposted 2 days ago,Full-time
Sr. Digital Data Analyst,Trojan Technologies,"Trojan Technologies · Markham, ON · Reposted 2 days ago · 21 applicants",Remote,Reposted 2 days ago,Full-time
Master Data Management - Data/Process Analyst,OpenText,"OpenText · Waterloo, ON · Reposted 1 week ago · 245 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 1 week ago,On-site
"Senior Consultant, Global People Analytics & Advisory",Deloitte,"Deloitte · Vancouver, BC · 2 weeks ago · 53 applicants","Full-time
Matches your job preferences, job type is Full-time.",2 weeks ago,Full-time
Sr. Digital Data Analyst,Trojan Technologies,"Trojan Technologies · Saskatchewan, Canada · Reposted 2 days ago · 15 applicants",Remote,Reposted 2 days ago,Full-time
"Senior Data Analyst, Sustainability",GEOTAB,"GEOTAB · Oakville, ON · 1 week ago · 38 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",1 week ago,Hybrid
Sr. Digital Data Analyst,Trojan Technologies,"Trojan Technologies · Edmonton, AB · Reposted 2 days ago · 17 applicants",Remote,Reposted 2 days ago,Full-time
Online Data Analyst,TELUS International AI Data Solutions,"TELUS International AI Data Solutions · St. Catharines, ON · 1 week ago · 116 applicants",Remote,1 week ago,Full-time
MFL Pipeline Data Analyst I,ENTEGRA,"ENTEGRA · Woodbridge, ON · Reposted 3 days ago · 37 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 3 days ago,On-site
Data Business Analyst (Data Integretor),Systematix,Systematix · Greater Ottawa Metropolitan Area · 1 week ago · 282 applicants,"Hybrid
Matches your job preferences, workplace type is Hybrid.",1 week ago,Hybrid
Business Intelligence Analyst,ERCO Worldwide,"ERCO Worldwide · Mississauga, ON · 3 days ago · 171 applicants","On-site
Matches your job preferences, workplace type is On-site.",3 days ago,On-site
Online Data Analyst,TELUS International AI Data Solutions,"TELUS International AI Data Solutions · Kitchener, ON · 1 week ago · 173 applicants",Remote,1 week ago,On-site
Business Intelligence Consultant II,Visier Inc.,"Visier Inc. · Toronto, ON · 1 week ago · 116 applicants","Full-time
Matches your job preferences, job type is Full-time.",1 week ago,Full-time
Master Data Management - Data/Process Analyst,OpenText,"OpenText · Mississauga, ON · Reposted 1 week ago · 293 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 1 week ago,On-site
Senior Business Intelligence Analyst (Qlik),TradeStream Technologies,"TradeStream Technologies · Etobicoke, ON · Reposted 6 days ago · 426 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 6 days ago,Hybrid
"Data Analyst, Data Analytics",Cardinal Health Canada,"Cardinal Health Canada · Vaughan, ON · 1 week ago · 79 applicants","Full-time
Matches your job preferences, job type is Full-time.",1 week ago,Full-time
